description,industry,level,size,line_code,value
Changes in credit facilities: overdraft/credit limits: stayed the same,Finance,2,total,D0401.02,96
Changes in credit facilities: overdraft/credit limits: stayed the same,Insurance,2,total,D0401.02,12
Changes in credit facilities: overdraft/credit limits: stayed the same,Auxiliary,2,total,D0401.02,240
Changes in credit facilities: overdraft/credit limits: stayed the same,"Rental, hiring, & real estate services",1,total,D0401.02,633
Changes in credit facilities: overdraft/credit limits: stayed the same,"Professional, scientific, & technical services",1,total,D0401.02,3039
Changes in credit facilities: overdraft/credit limits: stayed the same,Computer systems design,2,total,D0401.02,501
Changes in credit facilities: overdraft/credit limits: stayed the same,Other professional scientific,2,total,D0401.02,2541
Changes in credit facilities: overdraft/credit limits: stayed the same,Administrative & support services,1,total,D0401.02,1026
Changes in credit facilities: overdraft/credit limits: stayed the same,Education & training,1,total,D0401.02,627
Changes in credit facilities: overdraft/credit limits: stayed the same,Health care & social assistance,1,total,D0401.02,1689
Changes in credit facilities: overdraft/credit limits: stayed the same,Arts & recreation services,1,total,D0401.02,336
Changes in credit facilities: overdraft/credit limits: stayed the same,Other services,1,total,D0401.02,816
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,total,D0401.02,28218
Changes in credit facilities: overdraft/credit limits: increased,total,0,6�19 employees,D0401.03,4284
Changes in credit facilities: overdraft/credit limits: increased,total,0,20�49 employees,D0401.03,1497
Changes in credit facilities: overdraft/credit limits: increased,total,0,50�99 employees,D0401.03,441
Changes in credit facilities: overdraft/credit limits: increased,total,0,100+ employees,D0401.03,276
Changes in credit facilities: overdraft/credit limits: increased,"Agriculture, forestry, & fishing",1,total,D0401.03,573
Changes in credit facilities: overdraft/credit limits: increased,Agriculture,2,total,D0401.03,333
Changes in credit facilities: overdraft/credit limits: increased,Commercial fishing,2,total,D0401.03,9
Changes in credit facilities: overdraft/credit limits: increased,Forestry & logging,2,total,D0401.03,45
Changes in credit facilities: overdraft/credit limits: increased,"Agriculture, forestry, & fishing support services",2,total,D0401.03,186
Changes in credit facilities: overdraft/credit limits: increased,Mining,1,total,D0401.03,12
Changes in credit facilities: overdraft/credit limits: increased,Manufacturing,1,total,D0401.03,888
Changes in credit facilities: overdraft/credit limits: increased,"Food, beverage, & tobacco",2,total,D0401.03,231
Changes in credit facilities: overdraft/credit limits: increased,"Textile, clothing, footwear, & leather",2,total,D0401.03,18
Changes in credit facilities: overdraft/credit limits: increased,Wood & paper product,2,total,D0401.03,90
Changes in credit facilities: overdraft/credit limits: increased,"Printing, publishing, & recorded media",2,total,D0401.03,27
Changes in credit facilities: overdraft/credit limits: increased,"Petroleum, coal, chemical, & associated product",2,total,D0401.03,87
Changes in credit facilities: overdraft/credit limits: increased,Non-metallic mineral product,2,total,D0401.03,30
Changes in credit facilities: overdraft/credit limits: increased,Metal product,2,total,D0401.03,159
Changes in credit facilities: overdraft/credit limits: increased,Transport and industrial machinery & equipment,2,total,D0401.03,165
Changes in credit facilities: overdraft/credit limits: increased,Other machinery & equipment,2,total,D0401.03,51
Changes in credit facilities: overdraft/credit limits: increased,Other manufacturing,2,total,D0401.03,30
Changes in credit facilities: overdraft/credit limits: increased,"Electricity, gas, water, & waste services",1,total,D0401.03,30
Changes in credit facilities: overdraft/credit limits: increased,Construction,1,total,D0401.03,1296
Changes in credit facilities: overdraft/credit limits: increased,Wholesale trade,1,total,D0401.03,606
Changes in credit facilities: overdraft/credit limits: increased,Machinery & equipment wholesaling,2,total,D0401.03,108
Changes in credit facilities: overdraft/credit limits: increased,Other wholesale trade,2,total,D0401.03,495
Changes in credit facilities: overdraft/credit limits: increased,Retail trade,1,total,D0401.03,627
Changes in credit facilities: overdraft/credit limits: increased,Accommodation & food services,1,total,D0401.03,903
Changes in credit facilities: overdraft/credit limits: increased,"Transport, postal, & warehousing",1,total,D0401.03,249
Changes in credit facilities: overdraft/credit limits: increased,Information media & telecommunications,1,total,D0401.03,39
Changes in credit facilities: overdraft/credit limits: increased,Publishing,2,total,D0401.03,18
Changes in credit facilities: overdraft/credit limits: increased,Motion picture,2,total,D0401.03,6
Changes in credit facilities: overdraft/credit limits: increased,Telecommunications,2,total,D0401.03,9
Changes in credit facilities: overdraft/credit limits: increased,Financial & insurance services,1,total,D0401.03,48
Changes in credit facilities: overdraft/credit limits: increased,Finance,2,total,D0401.03,27
Changes in credit facilities: overdraft/credit limits: increased,Insurance,2,total,D0401.03,3
Changes in credit facilities: overdraft/credit limits: increased,Auxiliary,2,total,D0401.03,21
Changes in credit facilities: overdraft/credit limits: increased,"Rental, hiring, & real estate services",1,total,D0401.03,93
Changes in credit facilities: overdraft/credit limits: increased,"Professional, scientific, & technical services",1,total,D0401.03,417
Changes in credit facilities: overdraft/credit limits: increased,Computer systems design,2,total,D0401.03,90
Changes in credit facilities: overdraft/credit limits: increased,Other professional scientific,2,total,D0401.03,333
Changes in credit facilities: overdraft/credit limits: increased,Administrative & support services,1,total,D0401.03,123
Changes in credit facilities: overdraft/credit limits: increased,Education & training,1,total,D0401.03,147
Changes in credit facilities: overdraft/credit limits: increased,Health care & social assistance,1,total,D0401.03,201
Changes in credit facilities: overdraft/credit limits: increased,Arts & recreation services,1,total,D0401.03,42
Changes in credit facilities: overdraft/credit limits: increased,Other services,1,total,D0401.03,201
Changes in credit facilities: overdraft/credit limits: increased,total,0,total,D0401.03,6501
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,6�19 employees,D0401.04,8202
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,20�49 employees,D0401.04,1584
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,50�99 employees,D0401.04,492
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,100+ employees,D0401.04,372
Changes in credit facilities: overdraft/credit limits: not applicable,"Agriculture, forestry, & fishing",1,total,D0401.04,573
Changes in credit facilities: overdraft/credit limits: not applicable,Agriculture,2,total,D0401.04,252
Changes in credit facilities: overdraft/credit limits: not applicable,Commercial fishing,2,total,D0401.04,9
Changes in credit facilities: overdraft/credit limits: not applicable,Forestry & logging,2,total,D0401.04,48
Changes in credit facilities: overdraft/credit limits: not applicable,"Agriculture, forestry, & fishing support services",2,total,D0401.04,264
Changes in credit facilities: overdraft/credit limits: not applicable,Mining,1,total,D0401.04,36
Changes in credit facilities: overdraft/credit limits: not applicable,Manufacturing,1,total,D0401.04,1155
Changes in credit facilities: overdraft/credit limits: not applicable,"Food, beverage, & tobacco",2,total,D0401.04,237
Changes in credit facilities: overdraft/credit limits: not applicable,"Textile, clothing, footwear, & leather",2,total,D0401.04,57
Changes in credit facilities: overdraft/credit limits: not applicable,Wood & paper product,2,total,D0401.04,120
Changes in credit facilities: overdraft/credit limits: not applicable,"Printing, publishing, & recorded media",2,total,D0401.04,24
Changes in credit facilities: overdraft/credit limits: not applicable,"Petroleum, coal, chemical, & associated product",2,total,D0401.04,114
Changes in credit facilities: overdraft/credit limits: not applicable,Non-metallic mineral product,2,total,D0401.04,36
Changes in credit facilities: overdraft/credit limits: not applicable,Metal product,2,total,D0401.04,282
Changes in credit facilities: overdraft/credit limits: not applicable,Transport and industrial machinery & equipment,2,total,D0401.04,156
Changes in credit facilities: overdraft/credit limits: not applicable,Other machinery & equipment,2,total,D0401.04,57
Changes in credit facilities: overdraft/credit limits: not applicable,Other manufacturing,2,total,D0401.04,63
Changes in credit facilities: overdraft/credit limits: not applicable,"Electricity, gas, water, & waste services",1,total,D0401.04,39
Changes in credit facilities: overdraft/credit limits: not applicable,Construction,1,total,D0401.04,1215
Changes in credit facilities: overdraft/credit limits: not applicable,Wholesale trade,1,total,D0401.04,750
Changes in credit facilities: overdraft/credit limits: not applicable,Machinery & equipment wholesaling,2,total,D0401.04,264
Changes in credit facilities: overdraft/credit limits: not applicable,Other wholesale trade,2,total,D0401.04,486
Changes in credit facilities: overdraft/credit limits: not applicable,Retail trade,1,total,D0401.04,849
Changes in credit facilities: overdraft/credit limits: not applicable,Accommodation & food services,1,total,D0401.04,1710
Changes in credit facilities: overdraft/credit limits: not applicable,"Transport, postal, & warehousing",1,total,D0401.04,408
Changes in credit facilities: overdraft/credit limits: not applicable,Information media & telecommunications,1,total,D0401.04,111
Changes in credit facilities: overdraft/credit limits: not applicable,Publishing,2,total,D0401.04,42
Changes in credit facilities: overdraft/credit limits: not applicable,Motion picture,2,total,D0401.04,27
Changes in credit facilities: overdraft/credit limits: not applicable,Telecommunications,2,total,D0401.04,42
Changes in credit facilities: overdraft/credit limits: not applicable,Financial & insurance services,1,total,D0401.04,231
Changes in credit facilities: overdraft/credit limits: not applicable,Finance,2,total,D0401.04,54
Changes in credit facilities: overdraft/credit limits: not applicable,Insurance,2,total,D0401.04,24
Changes in credit facilities: overdraft/credit limits: not applicable,Auxiliary,2,total,D0401.04,156
Changes in credit facilities: overdraft/credit limits: not applicable,"Rental, hiring, & real estate services",1,total,D0401.04,192
Changes in credit facilities: overdraft/credit limits: not applicable,"Professional, scientific, & technical services",1,total,D0401.04,1281
Changes in credit facilities: overdraft/credit limits: not applicable,Computer systems design,2,total,D0401.04,330
Changes in credit facilities: overdraft/credit limits: not applicable,Other professional scientific,2,total,D0401.04,957
Changes in credit facilities: overdraft/credit limits: not applicable,Administrative & support services,1,total,D0401.04,501
Changes in credit facilities: overdraft/credit limits: not applicable,Education & training,1,total,D0401.04,330
Changes in credit facilities: overdraft/credit limits: not applicable,Health care & social assistance,1,total,D0401.04,834
Changes in credit facilities: overdraft/credit limits: not applicable,Arts & recreation services,1,total,D0401.04,138
Changes in credit facilities: overdraft/credit limits: not applicable,Other services,1,total,D0401.04,291
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,total,D0401.04,10650
Changes in credit facilities: interest rates: decreased,total,0,6�19 employees,D0402.01,810
Changes in credit facilities: interest rates: decreased,total,0,20�49 employees,D0402.01,171
Changes in credit facilities: interest rates: decreased,total,0,50�99 employees,D0402.01,69
Changes in credit facilities: interest rates: decreased,total,0,100+ employees,D0402.01,75
Changes in credit facilities: interest rates: decreased,"Agriculture, forestry, & fishing",1,total,D0402.01,162
Changes in credit facilities: interest rates: decreased,Agriculture,2,total,D0402.01,132
Changes in credit facilities: interest rates: decreased,Commercial fishing,2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,Forestry & logging,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,"Agriculture, forestry, & fishing support services",2,total,D0402.01,30
Changes in credit facilities: interest rates: decreased,Mining,1,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Manufacturing,1,total,D0402.01,87
Changes in credit facilities: interest rates: decreased,"Food, beverage, & tobacco",2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,"Textile, clothing, footwear, & leather",2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,Wood & paper product,2,total,D0402.01,27
Changes in credit facilities: interest rates: decreased,"Printing, publishing, & recorded media",2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,"Petroleum, coal, chemical, & associated product",2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Non-metallic mineral product,2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Metal product,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Transport and industrial machinery & equipment,2,total,D0402.01,21
Changes in credit facilities: interest rates: decreased,Other machinery & equipment,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Other manufacturing,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,"Electricity, gas, water, & waste services",1,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Construction,1,total,D0402.01,174
Changes in credit facilities: interest rates: decreased,Wholesale trade,1,total,D0402.01,42
Changes in credit facilities: interest rates: decreased,Machinery & equipment wholesaling,2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Other wholesale trade,2,total,D0402.01,36
Changes in credit facilities: interest rates: decreased,Retail trade,1,total,D0402.01,117
Changes in credit facilities: interest rates: decreased,Accommodation & food services,1,total,D0402.01,69
Changes in credit facilities: interest rates: decreased,"Transport, postal, & warehousing",1,total,D0402.01,90
Changes in credit facilities: interest rates: decreased,Information media & telecommunications,1,total,D0402.01,12
Changes in credit facilities: interest rates: decreased,Publishing,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Motion picture,2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,Telecommunications,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Financial & insurance services,1,total,D0402.01,12
Changes in credit facilities: interest rates: decreased,Finance,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Insurance,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Auxiliary,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,"Rental, hiring, & real estate services",1,total,D0402.01,33
Changes in credit facilities: interest rates: decreased,"Professional, scientific, & technical services",1,total,D0402.01,162
Changes in credit facilities: interest rates: decreased,Computer systems design,2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Other professional scientific,2,total,D0402.01,156
Changes in credit facilities: interest rates: decreased,Administrative & support services,1,total,D0402.01,33
Changes in credit facilities: interest rates: decreased,Education & training,1,total,D0402.01,39
Changes in credit facilities: interest rates: decreased,Health care & social assistance,1,total,D0402.01,45
Changes in credit facilities: interest rates: decreased,Arts & recreation services,1,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Other services,1,total,D0402.01,21
Changes in credit facilities: interest rates: decreased,total,0,total,D0402.01,1128
Changes in credit facilities: interest rates: stayed the same,total,0,6�19 employees,D0402.02,8988
Changes in credit facilities: interest rates: stayed the same,total,0,20�49 employees,D0402.02,2124
Changes in credit facilities: interest rates: stayed the same,total,0,50�99 employees,D0402.02,540
Changes in credit facilities: interest rates: stayed the same,total,0,100+ employees,D0402.02,459
Changes in credit facilities: interest rates: stayed the same,"Agriculture, forestry, & fishing",1,total,D0402.02,747
Changes in credit facilities: interest rates: stayed the same,Agriculture,2,total,D0402.02,510
Changes in credit facilities: interest rates: stayed the same,Commercial fishing,2,total,D0402.02,12
Changes in credit facilities: interest rates: stayed the same,Forestry & logging,2,total,D0402.02,45
Changes in credit facilities: interest rates: stayed the same,"Agriculture, forestry, & fishing support services",2,total,D0402.02,183
Changes in credit facilities: interest rates: stayed the same,Mining,1,total,D0402.02,33
Changes in credit facilities: interest rates: stayed the same,Manufacturing,1,total,D0402.02,1251
Changes in credit facilities: interest rates: stayed the same,"Food, beverage, & tobacco",2,total,D0402.02,297
Changes in credit facilities: interest rates: stayed the same,"Textile, clothing, footwear, & leather",2,total,D0402.02,57
Changes in credit facilities: interest rates: stayed the same,Wood & paper product,2,total,D0402.02,84
Changes in credit facilities: interest rates: stayed the same,"Printing, publishing, & recorded media",2,total,D0402.02,66
Changes in credit facilities: interest rates: stayed the same,"Petroleum, coal, chemical, & associated product",2,total,D0402.02,123
Changes in credit facilities: interest rates: stayed the same,Non-metallic mineral product,2,total,D0402.02,51
Changes in credit facilities: interest rates: stayed the same,Metal product,2,total,D0402.02,222
Changes in credit facilities: interest rates: stayed the same,Transport and industrial machinery & equipment,2,total,D0402.02,177
Changes in credit facilities: interest rates: stayed the same,Other machinery & equipment,2,total,D0402.02,63
Changes in credit facilities: interest rates: stayed the same,Other manufacturing,2,total,D0402.02,114
Changes in credit facilities: interest rates: stayed the same,"Electricity, gas, water, & waste services",1,total,D0402.02,54
Changes in credit facilities: interest rates: stayed the same,Construction,1,total,D0402.02,1665
Changes in credit facilities: interest rates: stayed the same,Wholesale trade,1,total,D0402.02,786
Changes in credit facilities: interest rates: stayed the same,Machinery & equipment wholesaling,2,total,D0402.02,282
Changes in credit facilities: interest rates: stayed the same,Other wholesale trade,2,total,D0402.02,504
Changes in credit facilities: interest rates: stayed the same,Retail trade,1,total,D0402.02,1299
Changes in credit facilities: interest rates: stayed the same,Accommodation & food services,1,total,D0402.02,1824
Changes in credit facilities: interest rates: stayed the same,"Transport, postal, & warehousing",1,total,D0402.02,357
Changes in credit facilities: interest rates: stayed the same,Information media & telecommunications,1,total,D0402.02,141
Changes in credit facilities: interest rates: stayed the same,Publishing,2,total,D0402.02,60
Changes in credit facilities: interest rates: stayed the same,Motion picture,2,total,D0402.02,48
Changes in credit facilities: interest rates: stayed the same,Telecommunications,2,total,D0402.02,30
Changes in credit facilities: interest rates: stayed the same,Financial & insurance services,1,total,D0402.02,126
Changes in credit facilities: interest rates: stayed the same,Finance,2,total,D0402.02,39
Changes in credit facilities: interest rates: stayed the same,Insurance,2,total,D0402.02,12
Changes in credit facilities: interest rates: stayed the same,Auxiliary,2,total,D0402.02,78
Changes in credit facilities: interest rates: stayed the same,"Rental, hiring, & real estate services",1,total,D0402.02,255
Changes in credit facilities: interest rates: stayed the same,"Professional, scientific, & technical services",1,total,D0402.02,1659
Changes in credit facilities: interest rates: stayed the same,Computer systems design,2,total,D0402.02,363
Changes in credit facilities: interest rates: stayed the same,Other professional scientific,2,total,D0402.02,1299
Changes in credit facilities: interest rates: stayed the same,Administrative & support services,1,total,D0402.02,510
Changes in credit facilities: interest rates: stayed the same,Education & training,1,total,D0402.02,237
Changes in credit facilities: interest rates: stayed the same,Health care & social assistance,1,total,D0402.02,681
Changes in credit facilities: interest rates: stayed the same,Arts & recreation services,1,total,D0402.02,147
Changes in credit facilities: interest rates: stayed the same,Other services,1,total,D0402.02,336
Changes in credit facilities: interest rates: stayed the same,total,0,total,D0402.02,12114
Changes in credit facilities: interest rates: increased,total,0,6�19 employees,D0402.03,17262
Changes in credit facilities: interest rates: increased,total,0,20�49 employees,D0402.03,4449
Changes in credit facilities: interest rates: increased,total,0,50�99 employees,D0402.03,1338
Changes in credit facilities: interest rates: increased,total,0,100+ employees,D0402.03,996
Changes in credit facilities: interest rates: increased,"Agriculture, forestry, & fishing",1,total,D0402.03,2349
Changes in credit facilities: interest rates: increased,Agriculture,2,total,D0402.03,1593
Changes in credit facilities: interest rates: increased,Commercial fishing,2,total,D0402.03,24
Changes in credit facilities: interest rates: increased,Forestry & logging,2,total,D0402.03,192
Changes in credit facilities: interest rates: increased,"Agriculture, forestry, & fishing support services",2,total,D0402.03,537
Changes in credit facilities: interest rates: increased,Mining,1,total,D0402.03,54
Changes in credit facilities: interest rates: increased,Manufacturing,1,total,D0402.03,2886
Changes in credit facilities: interest rates: increased,"Food, beverage, & tobacco",2,total,D0402.03,699
Changes in credit facilities: interest rates: increased,"Textile, clothing, footwear, & leather",2,total,D0402.03,135
Changes in credit facilities: interest rates: increased,Wood & paper product,2,total,D0402.03,303
Changes in credit facilities: interest rates: increased,"Printing, publishing, & recorded media",2,total,D0402.03,114
Changes in credit facilities: interest rates: increased,"Petroleum, coal, chemical, & associated product",2,total,D0402.03,207
Changes in credit facilities: interest rates: increased,Non-metallic mineral product,2,total,D0402.03,111
Changes in credit facilities: interest rates: increased,Metal product,2,total,D0402.03,489
Changes in credit facilities: interest rates: increased,Transport and industrial machinery & equipment,2,total,D0402.03,531
Changes in credit facilities: interest rates: increased,Other machinery & equipment,2,total,D0402.03,120
Changes in credit facilities: interest rates: increased,Other manufacturing,2,total,D0402.03,180
Changes in credit facilities: interest rates: increased,"Electricity, gas, water, & waste services",1,total,D0402.03,105
Changes in credit facilities: interest rates: increased,Construction,1,total,D0402.03,4194
Changes in credit facilities: interest rates: increased,Wholesale trade,1,total,D0402.03,1647
Changes in credit facilities: interest rates: increased,Machinery & equipment wholesaling,2,total,D0402.03,363
Changes in credit facilities: interest rates: increased,Other wholesale trade,2,total,D0402.03,1284
Changes in credit facilities: interest rates: increased,Retail trade,1,total,D0402.03,2796
Changes in credit facilities: interest rates: increased,Accommodation & food services,1,total,D0402.03,3117
Changes in credit facilities: interest rates: increased,"Transport, postal, & warehousing",1,total,D0402.03,807
Changes in credit facilities: interest rates: increased,Information media & telecommunications,1,total,D0402.03,165
Changes in credit facilities: interest rates: increased,Publishing,2,total,D0402.03,60
Changes in credit facilities: interest rates: increased,Motion picture,2,total,D0402.03,57
Changes in credit facilities: interest rates: increased,Telecommunications,2,total,D0402.03,45
Changes in credit facilities: interest rates: increased,Financial & insurance services,1,total,D0402.03,279
Changes in credit facilities: interest rates: increased,Finance,2,total,D0402.03,105
Changes in credit facilities: interest rates: increased,Insurance,2,total,D0402.03,9
Changes in credit facilities: interest rates: increased,Auxiliary,2,total,D0402.03,168
Changes in credit facilities: interest rates: increased,"Rental, hiring, & real estate services",1,total,D0402.03,453
Changes in credit facilities: interest rates: increased,"Professional, scientific, & technical services",1,total,D0402.03,1737
Changes in credit facilities: interest rates: increased,Computer systems design,2,total,D0402.03,219
Changes in credit facilities: interest rates: increased,Other professional scientific,2,total,D0402.03,1521
Changes in credit facilities: interest rates: increased,Administrative & support services,1,total,D0402.03,654
Changes in credit facilities: interest rates: increased,Education & training,1,total,D0402.03,555
Changes in credit facilities: interest rates: increased,Health care & social assistance,1,total,D0402.03,1254
Changes in credit facilities: interest rates: increased,Arts & recreation services,1,total,D0402.03,237
Changes in credit facilities: interest rates: increased,Other services,1,total,D0402.03,753
Changes in credit facilities: interest rates: increased,total,0,total,D0402.03,24048
Changes in credit facilities: interest rates: not applicable,total,0,6�19 employees,D0402.04,8271
Changes in credit facilities: interest rates: not applicable,total,0,20�49 employees,D0402.04,1530
Changes in credit facilities: interest rates: not applicable,total,0,50�99 employees,D0402.04,486
Changes in credit facilities: interest rates: not applicable,total,0,100+ employees,D0402.04,381
Changes in credit facilities: interest rates: not applicable,"Agriculture, forestry, & fishing",1,total,D0402.04,489
Changes in credit facilities: interest rates: not applicable,Agriculture,2,total,D0402.04,210
Changes in credit facilities: interest rates: not applicable,Commercial fishing,2,total,D0402.04,12
Changes in credit facilities: interest rates: not applicable,Forestry & logging,2,total,D0402.04,33
Changes in credit facilities: interest rates: not applicable,"Agriculture, forestry, & fishing support services",2,total,D0402.04,237
Changes in credit facilities: interest rates: not applicable,Mining,1,total,D0402.04,24
Changes in credit facilities: interest rates: not applicable,Manufacturing,1,total,D0402.04,1230
Changes in credit facilities: interest rates: not applicable,"Food, beverage, & tobacco",2,total,D0402.04,222
Changes in credit facilities: interest rates: not applicable,"Textile, clothing, footwear, & leather",2,total,D0402.04,75
Changes in credit facilities: interest rates: not applicable,Wood & paper product,2,total,D0402.04,120
Changes in credit facilities: interest rates: not applicable,"Printing, publishing, & recorded media",2,total,D0402.04,30
Changes in credit facilities: interest rates: not applicable,"Petroleum, coal, chemical, & associated product",2,total,D0402.04,114
Changes in credit facilities: interest rates: not applicable,Non-metallic mineral product,2,total,D0402.04,42
Changes in credit facilities: interest rates: not applicable,Metal product,2,total,D0402.04,282
Changes in credit facilities: interest rates: not applicable,Transport and industrial machinery & equipment,2,total,D0402.04,210
Changes in credit facilities: interest rates: not applicable,Other machinery & equipment,2,total,D0402.04,48
Changes in credit facilities: interest rates: not applicable,Other manufacturing,2,total,D0402.04,87
Changes in credit facilities: interest rates: not applicable,"Electricity, gas, water, & waste services",1,total,D0402.04,39
Changes in credit facilities: interest rates: not applicable,Construction,1,total,D0402.04,1152
Changes in credit facilities: interest rates: not applicable,Wholesale trade,1,total,D0402.04,723
Changes in credit facilities: interest rates: not applicable,Machinery & equipment wholesaling,2,total,D0402.04,303
Changes in credit facilities: interest rates: not applicable,Other wholesale trade,2,total,D0402.04,420
Changes in credit facilities: interest rates: not applicable,Retail trade,1,total,D0402.04,783
Changes in credit facilities: interest rates: not applicable,Accommodation & food services,1,total,D0402.04,1653
Changes in credit facilities: interest rates: not applicable,"Transport, postal, & warehousing",1,total,D0402.04,387
Changes in credit facilities: interest rates: not applicable,Information media & telecommunications,1,total,D0402.04,114
Changes in credit facilities: interest rates: not applicable,Publishing,2,total,D0402.04,39
Changes in credit facilities: interest rates: not applicable,Motion picture,2,total,D0402.04,27
Changes in credit facilities: interest rates: not applicable,Telecommunications,2,total,D0402.04,45
Changes in credit facilities: interest rates: not applicable,Financial & insurance services,1,total,D0402.04,228
Changes in credit facilities: interest rates: not applicable,Finance,2,total,D0402.04,42
Changes in credit facilities: interest rates: not applicable,Insurance,2,total,D0402.04,15
Changes in credit facilities: interest rates: not applicable,Auxiliary,2,total,D0402.04,171
Changes in credit facilities: interest rates: not applicable,"Rental, hiring, & real estate services",1,total,D0402.04,264
Changes in credit facilities: interest rates: not applicable,"Professional, scientific, & technical services",1,total,D0402.04,1455
Changes in credit facilities: interest rates: not applicable,Computer systems design,2,total,D0402.04,363
Changes in credit facilities: interest rates: not applicable,Other professional scientific,2,total,D0402.04,1095
Changes in credit facilities: interest rates: not applicable,Administrative & support services,1,total,D0402.04,549
Changes in credit facilities: interest rates: not applicable,Education & training,1,total,D0402.04,309
Changes in credit facilities: interest rates: not applicable,Health care & social assistance,1,total,D0402.04,834
Changes in credit facilities: interest rates: not applicable,Arts & recreation services,1,total,D0402.04,144
Changes in credit facilities: interest rates: not applicable,Other services,1,total,D0402.04,282
Changes in credit facilities: interest rates: not applicable,total,0,total,D0402.04,10671
Changes in credit facilities: fees: decreased,total,0,6�19 employees,D0403.01,408
Changes in credit facilities: fees: decreased,total,0,20�49 employees,D0403.01,105
Changes in credit facilities: fees: decreased,total,0,50�99 employees,D0403.01,27
Changes in credit facilities: fees: decreased,total,0,100+ employees,D0403.01,36
Changes in credit facilities: fees: decreased,"Agriculture, forestry, & fishing",1,total,D0403.01,84
Changes in credit facilities: fees: decreased,Agriculture,2,total,D0403.01,60
Changes in credit facilities: fees: decreased,Commercial fishing,2,total,D0403.01,0
Changes in credit facilities: fees: decreased,Forestry & logging,2,total,D0403.01,3
Changes in credit facilities: fees: decreased,"Agriculture, forestry, & fishing support services",2,total,D0403.01,21
Changes in credit facilities: fees: decreased,Mining,1,total,D0403.01,6
Changes in credit facilities: fees: decreased,Manufacturing,1,total,D0403.01,69
Changes in credit facilities: fees: decreased,"Food, beverage, & tobacco",2,total,D0403.01,21
Changes in credit facilities: fees: decreased,"Textile, clothing, footwear, & leather",2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Wood & paper product,2,total,D0403.01,9
Changes in credit facilities: fees: decreased,"Printing, publishing, & recorded media",2,total,D0403.01,0
Changes in credit facilities: fees: decreased,"Petroleum, coal, chemical, & associated product",2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Non-metallic mineral product,2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Metal product,2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Transport and industrial machinery & equipment,2,total,D0403.01,9
Changes in credit facilities: fees: decreased,Other machinery & equipment,2,total,D0403.01,6
Changes in credit facilities: fees: decreased,Other manufacturing,2,total,D0403.01,9
Changes in credit facilities: fees: decreased,"Electricity, gas, water, & waste services",1,total,D0403.01,9
Changes in credit facilities: fees: decreased,Construction,1,total,D0403.01,117
Changes in credit facilities: fees: decreased,Wholesale trade,1,total,D0403.01,30
Changes in credit facilities: fees: decreased,Machinery & equipment wholesaling,2,total,D0403.01,15
Changes in credit facilities: fees: decreased,Other wholesale trade,2,total,D0403.01,12
Changes in credit facilities: fees: decreased,Retail trade,1,total,D0403.01,0
Changes in credit facilities: fees: decreased,Accommodation & food services,1,total,D0403.01,66
Changes in credit facilities: fees: decreased,"Transport, postal, & warehousing",1,total,D0403.01,18
Changes in credit facilities: fees: decreased,Information media & telecommunications,1,total,D0403.01,9
Changes in credit facilities: fees: decreased,Publishing,2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Motion picture,2,total,D0403.01,0
Changes in credit facilities: fees: decreased,Telecommunications,2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Financial & insurance services,1,total,D0403.01,9
Changes in credit facilities: fees: decreased,Finance,2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Insurance,2,total,D0403.01,3
Changes in credit facilities: fees: decreased,Auxiliary,2,total,D0403.01,6
